id,title,release_date,popularity,vote_average,genre_ids,genres,year,revenue,budget
50620,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,14.5336,6.463,"(12, 14, 18, 10749)","['Adventure', 'Fantasy', 'Drama', 'Romance']",2012,829747654.0,120000000.0
14160,Up,2009-05-28,14.5294,7.957,"(16, 35, 10751, 12)","['Animation', 'Comedy', 'Family', 'Adventure']",2009,735099082.0,175000000.0
489,Good Will Hunting,1997-12-05,14.5249,8.158,"(18,)",['Drama'],1997,225900000.0,10000000.0
713364,Clown in a Cornfield,2025-05-08,14.493,6.1,"(27, 9648, 53)","['Horror', 'Mystery', 'Thriller']",2025,3648991.0,1000000.0
564,The Mummy,1999-04-16,14.4616,6.941,"(12, 28, 14)","['Adventure', 'Action', 'Fantasy']",1999,415885488.0,80000000.0
947891,My Old Ass,2024-09-13,14.4592,6.9,"(35, 18)","['Comedy', 'Drama']",2024,5705895.0,3000000.0
49519,The Croods,2013-03-15,14.4486,6.922,"(16, 12, 10751, 14, 35, 28)","['Animation', 'Adventure', 'Family', 'Fantasy', 'Comedy', 'Action']",2013,587204668.0,135000000.0
809,Shrek 2,2004-05-19,14.2183,7.292,"(16, 10751, 35, 14, 12)","['Animation', 'Family', 'Comedy', 'Fantasy', 'Adventure']",2004,935454538.0,150000000.0
324552,John Wick: Chapter 2,2017-02-08,14.1051,7.332,"(28, 53, 80)","['Action', 'Thriller', 'Crime']",2017,171539887.0,40000000.0
507089,Five Nights at Freddy's,2023-10-25,13.999,7.467,"(27, 53)","['Horror', 'Thriller']",2023,297144130.0,20000000.0
453,A Beautiful Mind,2001-12-14,13.9977,7.855,"(18, 10749)","['Drama', 'Romance']",2001,316791257.0,58000000.0
4935,Howl's Moving Castle,2004-09-09,13.9573,8.397,"(14, 16, 12)","['Fantasy', 'Animation', 'Adventure']",2004,236049757.0,24000000.0
10681,WALL·E,2008-06-22,13.8776,8.098,"(16, 10751, 878)","['Animation', 'Family', 'Science Fiction']",2008,521311860.0,180000000.0
1007734,Nobody 2,2025-08-13,13.8732,0.0,"(28, 53)","['Action', 'Thriller']",2025,0.0,0.0
1114513,Speak No Evil,2024-09-11,13.8684,7.254,"(27, 53)","['Horror', 'Thriller']",2024,76756109.0,15000000.0
1196943,Chhaava,2025-02-14,13.8181,6.7,"(36, 28, 18)","['History', 'Action', 'Drama']",2025,94988235.0,15800000.0
429,"The Good, the Bad and the Ugly",1966-12-22,13.4566,8.5,"(37,)",['Western'],1966,38900000.0,1200000.0
1254786,The Life List,2025-03-27,13.682,6.855,"(10749, 35, 18)","['Romance', 'Comedy', 'Drama']",2025,0.0,0.0
619979,Deep Water,2022-03-17,13.2854,5.827,"(18, 9648, 53)","['Drama', 'Mystery', 'Thriller']",2022,0.0,49000000.0
2157,Lost in Space,1998-04-03,12.0169,5.4,"(878, 12)","['Science Fiction', 'Adventure']",1998,136159423.0,80000000.0
616037,Thor: Love and Thunder,2022-07-06,13.6873,6.417,"(14, 28, 35)","['Fantasy', 'Action', 'Comedy']",2022,760900000.0,250000000.0
1127166,The Tearsmith,2024-04-03,12.9827,6.517,"(10749, 18)","['Romance', 'Drama']",2024,0.0,7000000.0
956,Mission: Impossible III,2006-04-25,14.2976,6.74,"(12, 28, 53)","['Adventure', 'Action', 'Thriller']",2006,398479497.0,150000000.0
985939,Fall,2022-08-11,13.6229,7.144,"(53,)",['Thriller'],2022,17363261.0,3000000.0
1005331,Carry-On,2024-12-05,13.1886,6.909,"(53, 28)","['Thriller', 'Action']",2024,0.0,47000000.0
580489,Venom: Let There Be Carnage,2021-09-30,12.8165,6.774,"(878, 28, 12)","['Science Fiction', 'Action', 'Adventure']",2021,506863592.0,110000000.0
321612,Beauty and the Beast,2017-03-16,13.1054,6.972,"(10751, 14, 10749)","['Family', 'Fantasy', 'Romance']",2017,1266115964.0,160000000.0
746036,The Fall Guy,2024-04-24,12.6078,7.022,"(28, 35, 18, 10749)","['Action', 'Comedy', 'Drama', 'Romance']",2024,181073291.0,125000000.0
546554,Knives Out,2019-11-27,12.978,7.843,"(35, 80, 9648)","['Comedy', 'Crime', 'Mystery']",2019,312897920.0,40000000.0
718930,Bullet Train,2022-08-03,13.2112,7.439,"(28, 35, 53)","['Action', 'Comedy', 'Thriller']",2022,239300000.0,90000000.0
1414048,Day of Reckoning,2025-03-28,71.1419,6.7,"(37, 28)","['Western', 'Action']",2025,0.0,0.0
345940,The Meg,2018-08-09,71.0803,6.248,"(28, 878, 27)","['Action', 'Science Fiction', 'Horror']",2018,530517320.0,150000000.0
141052,Justice League,2017-11-15,70.2059,6.1,"(28, 12, 878)","['Action', 'Adventure', 'Science Fiction']",2017,661326987.0,300000000.0
1195506,Novocaine,2025-03-12,69.807,6.915,"(28, 35, 53)","['Action', 'Comedy', 'Thriller']",2025,34208050.0,18000000.0
263115,Logan,2017-02-28,69.4875,7.82,"(28, 18, 878)","['Action', 'Drama', 'Science Fiction']",2017,619021436.0,97000000.0
281338,War for the Planet of the Apes,2017-07-11,68.9924,7.207,"(18, 878, 10752)","['Drama', 'Science Fiction', 'War']",2017,490719763.0,150000000.0
1136721,The Glenarma Tapes,2024-04-02,68.6971,6.1,"(27,)",['Horror'],2024,0.0,0.0
1249213,Drop,2025-04-10,65.2293,6.546,"(9648, 53)","['Mystery', 'Thriller']",2025,28301850.0,11000000.0
1045938,G20,2025-04-10,64.8589,6.567,"(28, 9648, 18)","['Action', 'Mystery', 'Drama']",2025,0.0,0.0
238,The Godfather,1972-03-14,64.6623,8.687,"(18, 80)","['Drama', 'Crime']",1972,245066411.0,6000000.0
1010581,My Fault,2023-06-08,61.5319,7.812,"(10749, 18)","['Romance', 'Drama']",2023,0.0,0.0
950396,The Gorge,2025-02-13,61.0501,7.715,"(10749, 878, 53)","['Romance', 'Science Fiction', 'Thriller']",2025,0.0,70000000.0
324786,Hacksaw Ridge,2016-10-07,59.6369,8.2,"(18, 36, 10752)","['Drama', 'History', 'War']",2016,175302354.0,40000000.0
872585,Oppenheimer,2023-07-19,58.8708,8.1,"(18, 36)","['Drama', 'History']",2023,952000000.0,100000000.0
1126166,Flight Risk,2025-01-22,58.4669,6.114,"(28, 53)","['Action', 'Thriller']",2025,40420193.0,25000000.0
370172,No Time to Die,2021-09-29,58.043,7.366,"(28, 53, 12)","['Action', 'Thriller', 'Adventure']",2021,774153024.0,250000000.0
1313194,Summer of 69,2025-03-13,57.0218,5.567,"(35, 18)","['Comedy', 'Drama']",2025,0.0,0.0
383498,Deadpool 2,2018-05-15,56.7332,7.49,"(28, 35, 12)","['Action', 'Comedy', 'Adventure']",2018,785896632.0,110000000.0
870028,The Accountant²,2025-04-23,55.8358,7.182,"(80, 53, 28)","['Crime', 'Thriller', 'Action']",2025,83014385.0,80000000.0
1252309,Ask Me What You Want,2024-11-29,53.9916,6.0,"(10749, 18)","['Romance', 'Drama']",2024,0.0,0.0
792307,Poor Things,2023-12-07,13.5255,7.7,"(878, 10749, 35)","['Science Fiction', 'Romance', 'Comedy']",2023,117607117.0,35000000.0
240832,Lucy,2014-07-25,13.5028,6.462,"(28, 878)","['Action', 'Science Fiction']",2014,458863600.0,40000000.0
10195,Thor,2011-04-21,13.4588,6.769,"(12, 14, 28)","['Adventure', 'Fantasy', 'Action']",2011,449326618.0,150000000.0
398818,Call Me by Your Name,2017-07-28,13.426,8.117,"(10749, 18)","['Romance', 'Drama']",2017,43143046.0,3500000.0
1124,The Prestige,2006-10-17,13.4047,8.203,"(18, 9648, 878)","['Drama', 'Mystery', 'Science Fiction']",2006,109676311.0,40000000.0
436270,Black Adam,2022-10-19,13.348,6.865,"(28, 12, 878)","['Action', 'Adventure', 'Science Fiction']",2022,393452111.0,200000000.0
615,The Passion of the Christ,2004-02-25,13.3405,7.523,"(18,)",['Drama'],2004,610063468.0,30000000.0
438695,Sing 2,2021-12-01,13.3171,7.849,"(16, 10751, 10402, 35)","['Animation', 'Family', 'Music', 'Comedy']",2021,408402685.0,85000000.0
168259,Furious 7,2015-04-01,13.2813,7.2,"(28, 53, 80)","['Action', 'Thriller', 'Crime']",2015,1515400000.0,190000000.0
445651,The Darkest Minds,2018-07-25,13.2366,7.033,"(28, 12, 18)","['Action', 'Adventure', 'Drama']",2018,41142379.0,34000000.0
290595,The Huntsman: Winter's War,2016-04-06,13.2034,6.288,"(28, 12, 18)","['Action', 'Adventure', 'Drama']",2016,164989338.0,115000000.0
718821,Twisters,2024-07-10,13.1823,6.83,"(28, 53)","['Action', 'Thriller']",2024,372262265.0,155000000.0
1445276,A Love Too Captivating,2025-04-06,13.1543,5.0,"(10749, 16)","['Romance', 'Animation']",2025,0.0,0.0
530385,Midsommar,2019-07-03,13.0237,7.152,"(27, 18, 9648)","['Horror', 'Drama', 'Mystery']",2019,48015416.0,9000000.0
50619,The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,13.0223,6.196,"(12, 14, 10749)","['Adventure', 'Fantasy', 'Romance']",2011,712171856.0,110000000.0
388,Inside Man,2006-03-17,12.9777,7.395,"(80, 18, 53)","['Crime', 'Drama', 'Thriller']",2006,186003591.0,45000000.0
695721,The Hunger Games: The Ballad of Songbirds & Snakes,2023-11-15,12.7717,7.018,"(18, 878, 12, 28)","['Drama', 'Science Fiction', 'Adventure', 'Action']",2023,337371917.0,100000000.0
1125510,The Platform 2,2024-09-27,12.4319,5.549,"(878, 27, 53)","['Science Fiction', 'Horror', 'Thriller']",2024,0.0,0.0
245891,John Wick,2014-10-22,13.6224,7.444,"(28, 53)","['Action', 'Thriller']",2014,88761661.0,20000000.0
30830,Fantasm Comes Again,1977-12-26,10.6128,4.625,"(35,)",['Comedy'],1977,0.0,72000.0
585511,Luck,2022-08-05,12.9351,7.774,"(16, 12, 35, 14)","['Animation', 'Adventure', 'Comedy', 'Fantasy']",2022,0.0,0.0
1100099,We Live in Time,2024-10-10,14.221,7.331,"(10749, 18)","['Romance', 'Drama']",2024,37182814.0,20000000.0
398978,The Irishman,2019-11-01,12.1098,7.592,"(80, 18, 36)","['Crime', 'Drama', 'History']",2019,968853.0,159000000.0
14161,2012,2009-10-10,12.7716,5.851,"(28, 12, 878)","['Action', 'Adventure', 'Science Fiction']",2009,791217826.0,200000000.0
8835,Legally Blonde,2001-07-13,12.7659,6.793,"(35, 10749)","['Comedy', 'Romance']",2001,141774679.0,18000000.0
508442,Soul,2020-12-25,12.0667,8.109,"(16, 10751, 35, 14)","['Animation', 'Family', 'Comedy', 'Fantasy']",2020,121977511.0,150000000.0
375834,"It's Called 'Murder', Baby",1983-06-15,8.6,6.3,"(9648,)",['Mystery'],1983,0.0,0.0
420817,Aladdin,2019-05-22,12.3214,7.097,"(12, 14, 10749, 10751)","['Adventure', 'Fantasy', 'Romance', 'Family']",2019,1054300000.0,183000000.0
121856,Assassin's Creed,2016-12-21,13.6242,5.43,"(28, 12, 878)","['Action', 'Adventure', 'Science Fiction']",2016,240700000.0,125000000.0
351286,Jurassic World: Fallen Kingdom,2018-06-06,12.7648,6.538,"(28, 12, 878, 53)","['Action', 'Adventure', 'Science Fiction', 'Thriller']",2018,1310466296.0,170000000.0
666277,Past Lives,2023-06-02,12.7508,7.741,"(18, 10749)","['Drama', 'Romance']",2023,28126646.0,12000000.0
1382406,Striking Rescue,2024-12-05,12.7459,7.25,"(28, 80, 53)","['Action', 'Crime', 'Thriller']",2024,0.0,0.0
1072790,Anyone But You,2023-12-21,12.704,6.9,"(10749, 35)","['Romance', 'Comedy']",2023,214891370.0,25000000.0
799583,The Ministry of Ungentlemanly Warfare,2024-04-18,12.6948,7.083,"(28, 35, 10752)","['Action', 'Comedy', 'War']",2024,29715044.0,60000000.0
